LANG_ISO,y_obs,y_hat,y_avg,residual,y_hat_50,y_avg_50,change in rank in 50 years,change in expectation of rank in 50 years,y_hat_100,y_avg_100,change in rank in 100 years,change in expectation of rank in 100 years
aaa,1,1,1.00237200756681,0,1,1.00233842031241,0,-3.35872544001692E-05,1,1.00233332493071,0,-3.86826361000736E-05
aab,1,1,1.01325880542136,0,1,1.01305496644001,0,-0.00020383898135,1,1.01303108826397,0,-0.00022771715739
aac,1,1,1.28087678508661,0,1,1.28070665060052,0,-0.00017013448609,1,1.28062410866393,0,-0.00025267642268
aad,1,1,1.11861489932065,0,1,1.11829770097117,0,-0.00031719834948,1,1.11825090185451,0,-0.00036399746614
aae,1,1,1.00225972836927,0,1,1.00222537008552,0,-3.43582837500911E-05,1,1.00221495268845,0,-4.47756808199529E-05
aaf,1,1,1.42551167500045,0,1,1.4247215345592,0,-0.00079014044125,1,1.42451970739734,0,-0.00099196760311
aag,1,1,1.05784750842625,0,1,1.05780220655251,0,-4.53018737400779E-05,1,1.05779512262952,0,-5.23857967300589E-05
aai,1,1,1.00048975512859,0,1,1.00049026427109,0,5.09142499938164E-07,1,1.00049029117546,0,5.36046870003304E-07
aak,1,1,1.00258415496863,0,1,1.00258505774401,0,9.0277538000727E-07,1,1.00258558945794,0,1.43448931000378E-06
aal,1,1,1.02265363336142,0,1,1.02276322756558,0,0.00010959420416,1,1.02293108417183,0,0.00027745081041
aan,2,2,1.85197552228952,0,2,1.85353247261306,0,0.00155695032354,2,1.85394148775638,0,0.00196596546686
aap,1,1,1.49089908791872,0,1,1.58217733114042,0,0.0912782432217,2,1.64121251497959,1,0.15031342706087
aaq,3,2,1.94888356463991,1,2,1.94824266617973,0,-0.00064089846018,2,1.94803672529393,0,-0.00084683934598
aar,1,1,1.00002523541173,0,1,1.00001612145561,0,-9.11395612002153E-06,1,1.00001604530956,0,-9.19010217015348E-06
aas,2,2,2.14709150547657,0,2,2.14604008272236,0,-0.00105142275421,2,2.14551197511668,0,-0.00157953035989
aat,1,1,1.00760150214989,0,1,1.0074969424318,0,-0.00010455971809,1,1.007470342112,0,-0.00013116003789
aau,1,1,1.00002737942105,0,1,1.00002749682621,0,1.17405160038331E-07,1,1.00002751702838,0,1.37607330197298E-07
aaw,1,1,1.00466299877383,0,1,1.00465937785194,0,-3.62092189010177E-06,1,1.00465805955332,0,-4.93922050992524E-06
aax,1,1,1.04398750537669,0,1,1.0441177903353,0,0.00013028495861,1,1.04414711892206,0,0.00015961354537
