Name	Glottocode	ISO639P3code
Adamorobe Sign Language	adam1238	ads
Addis Ababa Ethiopian Sign Language	addi1234	NA
Afghan Sign Language	afgh1239	afg
Albanian Sign Language	alba1271	sqk
Algerian Sign Language	alge1235	asp
Alipur Sign Language	alip1234	NA
Al-Sayyid Bedouin Sign Language	alsa1242	syy
Amami O Shima Sign Language	amam1247	jks
American Sign Language	amer1248	ase
American Sign	amer1258	NA
American Sign Language in the USA	amer1260	NA
Angami Naga Sign Language	anga1315	NA
Anglo-Saxon Monastic Sign Language	angl1242	NA
Arab Sign	arab1398	NA
Argentine Sign Language	arge1236	aed
Armenian Sign Language	arme1259	aen
ASLic	asli1244	NA
Augustinian Sign Language	augu1237	NA
Austrian Sign Language	aust1252	asq
Australian Aborigines Sign Language	aust1253	asw
Auslan	aust1271	asf
Auslan-PNG Sign	aust1310	NA
Auxiliary Sign Systems	auxi1235	NA
Langue de Signes Malienne	bama1249	bog
Bangalore-Madras Indian Sign Language	bang1373	NA
Ban Khor Sign Language	bank1251	bfk
BANZL	banz1243	NA
Belgian Sign	belg1242	NA
Benedictine Sign Language	bene1236	NA
Kata Kolok	beng1239	bqy
Berbey Sign Language	berb1261	NA
Bolivian Sign Language	boli1236	bvl
Bombay Indian Sign Language	bomb1264	NA
Brazilian Sign Language	braz1236	bzs
Bribri Sign Language	brib1244	NA
British Sign Language	brit1235	bfi
Brunca Sign Language	brun1247	NA
BSLic	bsli1234	NA
Budapest	buda1244	NA
Bulgarian Sign Language	bulg1240	bqn
Bura Sign Language	bura1295	NA
Burkina Faso Sign Language	burk1234	NA
Burundi Sign Language	buru1325	lsb
Calcutta Indian Sign Language	calc1236	NA
Cambodian Sign Language	camb1244	csx
Catalan Sign Language	cata1241	csc
Catalan Sign	cata1287	NA
Central European Sign	cent2306	NA
Central Taurus Sign Language	cent2319	NA
Chadian Sign Language	chad1238	cds
San Juan Quiahije Chatino Sign Language	chat1269	NA
Chiangmai Sign Language	chia1237	csd
Chilean Sign Language	chil1264	csg
Chile-Paraguay-Uruguay Sign	chil1284	NA
Chinese Sign Language	chin1283	csl
Chiriqui Sign Languages	chir1296	NA
Cistercian Sign Language	cist1236	NA
Colombian Sign Language	colo1249	csn
Costa Rican Sign Language	cost1249	csr
Costa Rica-Honduras-Panama Sign	cost1251	NA
Croatian Sign Language	croa1242	csq
CSLic	csli1234	NA
Cuba Sign Language	cuba1235	csf
Czech Sign Language	czec1253	cse
Danish Sign Language	dani1246	dsl
Danish Sign	dani1289	NA
Deaf Sign Language	deaf1237	NA
Debrecen	debr1240	NA
Delhi Indian Sign Language	delh1234	NA
DGSic	dgsi1234	NA
Dominican Sign Language	domi1236	doq
Douentza Sign Language	doue1234	NA
Dutch Sign Language	dutc1253	dse
Dutch-Belgian Sign	dutc1259	NA
Ecuadorian Sign Language	ecua1243	ecs
Eger	eger1238	NA
Egypt Sign Language	egyp1238	esl
Enga Sign Language	enga1253	NA
Estonian Sign Language	esto1238	eso
Ethiopian Sign Language	ethi1238	eth
Extreme North Cameroon Sign Language	extr1248	NA
Family Sign Language	fami1234	NA
